,ID,well,campo,Socio,E_Brent,tipo_costo,P_D,FC_T
10,10,NW10NA,CANO_RONDON,con_socio,70,pesimista,0.1,"[Decimal('0'), Decimal('6004.3234'), Decimal('3026.6337'), Decimal('3848.8039'), Decimal('1880.4386'), Decimal('897.8872'), Decimal('379.2529'), Decimal('165.5616'), Decimal('45.9382'), Decimal('-166.7363'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
11,11,NW10NA,CANO_RONDON,con_socio,80,pesimista,0.1,"[Decimal('0'), Decimal('6823.3714'), Decimal('3981.1308'), Decimal('4316.1182'), Decimal('2120.3511'), Decimal('1052.7721'), Decimal('467.3994'), Decimal('215.3378'), Decimal('76.6661'), Decimal('-164.7833'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
12,12,NW10NA,CANO_RONDON,con_socio,90,pesimista,0.1,"[Decimal('0'), Decimal('7642.4194'), Decimal('4935.6279'), Decimal('4783.4326'), Decimal('2360.2637'), Decimal('1181.2663'), Decimal('530.9039'), Decimal('265.114'), Decimal('107.3939'), Decimal('-162.8302'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
13,13,NW10NA,CANO_RONDON,con_socio,95,pesimista,0.1,"[Decimal('0'), Decimal('8051.9434'), Decimal('5412.8765'), Decimal('5017.0897'), Decimal('2480.22'), Decimal('1245.5134'), Decimal('561.7552'), Decimal('283.2009'), Decimal('122.7579'), Decimal('-161.8537'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
14,14,NW10NA,CANO_RONDON,con_socio,45,pesimista,0.2,"[Decimal('0'), Decimal('3964.2696'), Decimal('452.0529'), Decimal('2268.6082'), Decimal('1040.6386'), Decimal('438.9794'), Decimal('158.8866'), Decimal('-130.6897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
15,15,NW10NA,CANO_RONDON,con_socio,50,pesimista,0.2,"[Decimal('0'), Decimal('4373.7936'), Decimal('1133.8366'), Decimal('2602.4041'), Decimal('1212.0047'), Decimal('530.761'), Decimal('202.9599'), Decimal('-105.8016'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
16,16,NW10NA,CANO_RONDON,con_socio,60,pesimista,0.2,"[Decimal('0'), Decimal('5185.2754'), Decimal('2497.4039'), Decimal('3269.996'), Decimal('1554.7369'), Decimal('714.3241'), Decimal('291.1064'), Decimal('115.7854'), Decimal('15.2103'), Decimal('-168.6893'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
17,17,NW10NA,CANO_RONDON,con_socio,70,pesimista,0.2,"[Decimal('0'), Decimal('6004.3234'), Decimal('3454.255'), Decimal('3786.0236'), Decimal('1848.2081'), Decimal('897.8872'), Decimal('379.2529'), Decimal('165.5616'), Decimal('45.9382'), Decimal('-166.7363'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
18,18,NW10NA,CANO_RONDON,con_socio,80,pesimista,0.2,"[Decimal('0'), Decimal('6823.3714'), Decimal('4408.7521'), Decimal('4253.3379'), Decimal('2088.1206'), Decimal('1035.5098'), Decimal('460.912'), Decimal('215.3378'), Decimal('76.6661'), Decimal('-164.7833'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
19,19,NW10NA,CANO_RONDON,con_socio,90,pesimista,0.2,"[Decimal('0'), Decimal('7642.4194'), Decimal('5363.2493'), Decimal('4720.6522'), Decimal('2328.0331'), Decimal('1164.004'), Decimal('522.6146'), Decimal('261.0982'), Decimal('107.3939'), Decimal('-162.8302'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
