,ID,well,campo,Socio,E_Brent,tipo_costo,P_D,FC_T
"362,362,CC19C5,CARICARE,con_socio,90,pesimista,0.3,""[Decimal('0'), Decimal('1918.0456'), Decimal('848.0791'), Decimal('773.7684'), Decimal('434.1511'), Decimal('247.8285'), Decimal('88.8529'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"363,363,CC19C5,CARICARE,con_socio,100,pesimista,0.3,""[Decimal('0'), Decimal('2126.5446'), Decimal('1035.2307'), Decimal('889.7271'), Decimal('506.6228'), Decimal('291.0833'), Decimal('106.2344'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"364,364,CC19C5,CARICARE,con_socio,45,probable,0,""[Decimal('0'), Decimal('786.4263'), Decimal('-506.3974'), Decimal('251.9542'), Decimal('108.0282'), Decimal('53.1817'), Decimal('10.6358'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"365,365,CC19C5,CARICARE,con_socio,50,probable,0,""[Decimal('0'), Decimal('912.1617'), Decimal('-412.8217'), Decimal('309.9335'), Decimal('144.2641'), Decimal('74.8091'), Decimal('19.3266'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"366,366,CC19C5,CARICARE,con_socio,60,probable,0,""[Decimal('0'), Decimal('1163.6327'), Decimal('-225.6701'), Decimal('425.8922'), Decimal('216.7358'), Decimal('118.0639'), Decimal('36.7081'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"367,367,CC19C5,CARICARE,con_socio,70,probable,0,""[Decimal('0'), Decimal('1415.1037'), Decimal('-38.5186'), Decimal('541.851'), Decimal('289.2076'), Decimal('161.3188'), Decimal('54.0897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"368,368,CC19C5,CARICARE,con_socio,80,probable,0,""[Decimal('0'), Decimal('1666.5746'), Decimal('148.633'), Decimal('657.8097'), Decimal('361.6793'), Decimal('204.5736'), Decimal('71.4713'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"369,369,CC19C5,CARICARE,con_socio,90,probable,0,""[Decimal('0'), Decimal('1918.0456'), Decimal('335.7846'), Decimal('773.7684'), Decimal('434.1511'), Decimal('247.8285'), Decimal('88.8529'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"370,370,CC19C5,CARICARE,con_socio,100,probable,0,""[Decimal('0'), Decimal('2126.5446'), Decimal('522.9361'), Decimal('889.7271'), Decimal('506.6228'), Decimal('291.0833'), Decimal('106.2344'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"371,371,CC19C5,CARICARE,con_socio,45,probable,0.1,""[Decimal('0'), Decimal('786.4263'), Decimal('-404.1064'), Decimal('251.9542'), Decimal('108.0282'), Decimal('53.1817'), Decimal('10.6358'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"372,372,CC19C5,CARICARE,con_socio,50,probable,0.1,""[Decimal('0'), Decimal('912.1617'), Decimal('-310.5307'), Decimal('309.9335'), Decimal('144.2641'), Decimal('74.8091'), Decimal('19.3266'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"373,373,CC19C5,CARICARE,con_socio,60,probable,0.1,""[Decimal('0'), Decimal('1163.6327'), Decimal('-123.3791'), Decimal('425.8922'), Decimal('216.7358'), Decimal('118.0639'), Decimal('36.7081'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"374,374,CC19C5,CARICARE,con_socio,70,probable,0.1,""[Decimal('0'), Decimal('1415.1037'), Decimal('63.7724'), Decimal('541.851'), Decimal('289.2076'), Decimal('161.3188'), Decimal('54.0897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"375,375,CC19C5,CARICARE,con_socio,80,probable,0.1,""[Decimal('0'), Decimal('1666.5746'), Decimal('250.924'), Decimal('657.8097'), Decimal('361.6793'), Decimal('204.5736'), Decimal('71.4713'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"376,376,CC19C5,CARICARE,con_socio,90,probable,0.1,""[Decimal('0'), Decimal('1918.0456'), Decimal('438.0756'), Decimal('773.7684'), Decimal('434.1511'), Decimal('247.8285'), Decimal('88.8529'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"377,377,CC19C5,CARICARE,con_socio,100,probable,0.1,""[Decimal('0'), Decimal('2126.5446'), Decimal('625.2271'), Decimal('889.7271'), Decimal('506.6228'), Decimal('291.0833'), Decimal('106.2344'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"378,378,CC19C5,CARICARE,con_socio,45,probable,0.2,""[Decimal('0'), Decimal('786.4263'), Decimal('-301.8154'), Decimal('251.9542'), Decimal('108.0282'), Decimal('53.1817'), Decimal('10.6358'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"379,379,CC19C5,CARICARE,con_socio,50,probable,0.2,""[Decimal('0'), Decimal('912.1617'), Decimal('-208.2397'), Decimal('309.9335'), Decimal('144.2641'), Decimal('74.8091'), Decimal('19.3266'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"380,380,CC19C5,CARICARE,con_socio,60,probable,0.2,""[Decimal('0'), Decimal('1163.6327'), Decimal('-21.0881'), Decimal('425.8922'), Decimal('216.7358'), Decimal('118.0639'), Decimal('36.7081'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"381,381,CC19C5,CARICARE,con_socio,70,probable,0.2,""[Decimal('0'), Decimal('1415.1037'), Decimal('166.0634'), Decimal('541.851'), Decimal('289.2076'), Decimal('161.3188'), Decimal('54.0897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"382,382,CC19C5,CARICARE,con_socio,80,probable,0.2,""[Decimal('0'), Decimal('1666.5746'), Decimal('353.215'), Decimal('657.8097'), Decimal('361.6793'), Decimal('204.5736'), Decimal('71.4713'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"383,383,CC19C5,CARICARE,con_socio,90,probable,0.2,""[Decimal('0'), Decimal('1918.0456'), Decimal('540.3666'), Decimal('773.7684'), Decimal('434.1511'), Decimal('247.8285'), Decimal('88.8529'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"384,384,CC19C5,CARICARE,con_socio,100,probable,0.2,""[Decimal('0'), Decimal('2126.5446'), Decimal('727.5181'), Decimal('889.7271'), Decimal('506.6228'), Decimal('291.0833'), Decimal('106.2344'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"385,385,CC19C5,CARICARE,con_socio,45,probable,0.3,""[Decimal('0'), Decimal('786.4263'), Decimal('-199.5244'), Decimal('251.9542'), Decimal('108.0282'), Decimal('53.1817'), Decimal('10.6358'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"386,386,CC19C5,CARICARE,con_socio,50,probable,0.3,""[Decimal('0'), Decimal('912.1617'), Decimal('-105.9487'), Decimal('309.9335'), Decimal('144.2641'), Decimal('74.8091'), Decimal('19.3266'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"387,387,CC19C5,CARICARE,con_socio,60,probable,0.3,""[Decimal('0'), Decimal('1163.6327'), Decimal('81.2029'), Decimal('425.8922'), Decimal('216.7358'), Decimal('118.0639'), Decimal('36.7081'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"388,388,CC19C5,CARICARE,con_socio,70,probable,0.3,""[Decimal('0'), Decimal('1415.1037'), Decimal('268.3544'), Decimal('541.851'), Decimal('289.2076'), Decimal('161.3188'), Decimal('54.0897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"389,389,CC19C5,CARICARE,con_socio,80,probable,0.3,""[Decimal('0'), Decimal('1666.5746'), Decimal('455.506'), Decimal('657.8097'), Decimal('361.6793'), Decimal('204.5736'), Decimal('71.4713'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"390,390,CC19C5,CARICARE,con_socio,90,probable,0.3,""[Decimal('0'), Decimal('1918.0456'), Decimal('642.6576'), Decimal('773.7684'), Decimal('434.1511'), Decimal('247.8285'), Decimal('88.8529'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"391,391,CC19C5,CARICARE,con_socio,100,probable,0.3,""[Decimal('0'), Decimal('2126.5446'), Decimal('829.8091'), Decimal('889.7271'), Decimal('506.6228'), Decimal('291.0833'), Decimal('106.2344'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"392,392,CC19C5,CARICARE,con_socio,45,optimista,0,""[Decimal('0'), Decimal('786.4263'), Decimal('-1043.8648'), Decimal('251.9542'), Decimal('108.0282'), Decimal('53.1817'), Decimal('10.6358'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"393,393,CC19C5,CARICARE,con_socio,50,optimista,0,""[Decimal('0'), Decimal('912.1617'), Decimal('-950.2891'), Decimal('309.9335'), Decimal('144.2641'), Decimal('74.8091'), Decimal('19.3266'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"394,394,CC19C5,CARICARE,con_socio,60,optimista,0,""[Decimal('0'), Decimal('1163.6327'), Decimal('-763.1375'), Decimal('425.8922'), Decimal('216.7358'), Decimal('118.0639'), Decimal('36.7081'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"395,395,CC19C5,CARICARE,con_socio,70,optimista,0,""[Decimal('0'), Decimal('1415.1037'), Decimal('-575.986'), Decimal('541.851'), Decimal('289.2076'), Decimal('161.3188'), Decimal('54.0897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"396,396,CC19C5,CARICARE,con_socio,80,optimista,0,""[Decimal('0'), Decimal('1666.5746'), Decimal('-388.8344'), Decimal('657.8097'), Decimal('361.6793'), Decimal('204.5736'), Decimal('71.4713'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"397,397,CC19C5,CARICARE,con_socio,90,optimista,0,""[Decimal('0'), Decimal('1918.0456'), Decimal('-201.6828'), Decimal('773.7684'), Decimal('434.1511'), Decimal('247.8285'), Decimal('88.8529'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"398,398,CC19C5,CARICARE,con_socio,100,optimista,0,""[Decimal('0'), Decimal('2126.5446'), Decimal('-14.5313'), Decimal('889.7271'), Decimal('506.6228'), Decimal('291.0833'), Decimal('106.2344'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"399,399,CC19C5,CARICARE,con_socio,45,optimista,0.1,""[Decimal('0'), Decimal('786.4263'), Decimal('-887.8271'), Decimal('251.9542'), Decimal('108.0282'), Decimal('53.1817'), Decimal('10.6358'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"400,400,CC19C5,CARICARE,con_socio,50,optimista,0.1,""[Decimal('0'), Decimal('912.1617'), Decimal('-794.2513'), Decimal('309.9335'), Decimal('144.2641'), Decimal('74.8091'), Decimal('19.3266'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"401,401,CC19C5,CARICARE,con_socio,60,optimista,0.1,""[Decimal('0'), Decimal('1163.6327'), Decimal('-607.0998'), Decimal('425.8922'), Decimal('216.7358'), Decimal('118.0639'), Decimal('36.7081'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"402,402,CC19C5,CARICARE,con_socio,70,optimista,0.1,""[Decimal('0'), Decimal('1415.1037'), Decimal('-419.9482'), Decimal('541.851'), Decimal('289.2076'), Decimal('161.3188'), Decimal('54.0897'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"403,403,CC19C5,CARICARE,con_socio,80,optimista,0.1,""[Decimal('0'), Decimal('1666.5746'), Decimal('-232.7967'), Decimal('657.8097'), Decimal('361.6793'), Decimal('204.5736'), Decimal('71.4713'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
"404,404,CC19C5,CARICARE,con_socio,90,optimista,0.1,""[Decimal('0'), Decimal('1918.0456'), Decimal('-45.6451'), Decimal('773.7684'), Decimal('434.1511'), Decimal('247.8285'), Decimal('88.8529'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"""
